80.0,90.0,80.0,80.0,100.0,90.0,80.0,100.0,90.0,100.0
90.0,80.0,70.0,70.0,80.0,70.0,90.0,90.0,90.0,100.0
100.0,90.0,90.0,90.0,100.0,100.0,100.0,90.0,90.0,60.0
100.0,90.0,90.0,80.0,90.0,80.0,100.0,100.0,60.0,100.0
80.0,90.0,90.0,90.0,90.0,100.0,100.0,100.0,80.0,70.0
80.0,90.0,90.0,80.0,90.0,100.0,90.0,80.0,100.0,90.0
90.0,100.0,90.0,80.0,100.0,90.0,90.0,80.0,70.0,90.0
80.0,100.0,80.0,80.0,100.0,90.0,70.0,90.0,70.0,90.0
90.0,80.0,90.0,80.0,90.0,90.0,90.0,90.0,90.0,70.0
80.0,70.0,70.0,70.0,100.0,70.0,90.0,90.0,80.0,90.0
