100.0,100.0,100.0,88.88888888888889,90.0,80.0,88.88888888888889,100.0,90.0,90.0
90.0,90.0,88.88888888888889,90.0,80.0,90.0,80.0,80.0,100.0,80.0
90.0,100.0,88.88888888888889,80.0,90.0,90.0,90.0,90.0,90.0,90.0
100.0,90.0,88.88888888888889,90.0,90.0,90.0,80.0,80.0,100.0,80.0
90.0,90.0,80.0,88.88888888888889,90.0,90.0,90.0,90.0,100.0,100.0
100.0,90.0,90.0,100.0,88.88888888888889,90.0,90.0,90.0,80.0,90.0
90.0,100.0,88.88888888888889,90.0,88.88888888888889,80.0,80.0,80.0,80.0,90.0
90.0,88.88888888888889,90.0,90.0,90.0,80.0,90.0,88.88888888888889,88.88888888888889,100.0
90.0,90.0,90.0,90.0,90.0,90.0,80.0,90.0,100.0,90.0
90.0,90.0,90.0,80.0,100.0,90.0,100.0,90.0,90.0,90.0
